[2008-04-30 12:14:32]	服务停止
[2008-04-30 12:14:34]	卸载hook dll 成功
[2008-04-30 12:14:34]	end process
[2008-04-30 12:15:46]	svrpackmonitor -- interval is 1
[2008-04-30 12:16:46]	svrpackmonitor -- interval is 1
[2008-04-30 12:17:46]	svrpackmonitor -- interval is 1
[2008-04-30 12:18:46]	svrpackmonitor -- interval is 1
[2008-04-30 12:19:46]	svrpackmonitor -- interval is 1
[2008-04-30 12:20:46]	svrpackmonitor -- interval is 1
[2008-04-30 12:21:46]	svrpackmonitor -- interval is 1
[2008-04-30 12:22:46]	svrpackmonitor -- interval is 1
[2008-04-30 12:23:46]	svrpackmonitor -- interval is 1
[2008-04-30 12:24:46]	svrpackmonitor -- interval is 1
[2008-04-30 12:25:46]	svrpackmonitor -- interval is 1
[2008-04-30 12:26:46]	svrpackmonitor -- interval is 1
[2008-04-30 12:27:46]	svrpackmonitor -- interval is 1
[2008-04-30 12:28:46]	svrpackmonitor -- interval is 1
[2008-04-30 12:29:46]	svrpackmonitor -- interval is 1
[2008-04-30 12:30:46]	svrpackmonitor -- interval is 1
[2008-04-30 12:38:50]	SOCKET 连接创建失败
[2008-04-30 12:38:50]	SOCKET 连接创建失败
[2008-04-30 12:38:51]	SOCKET 连接创建失败
[2008-04-30 12:38:51]	SOCKET 连接创建失败
[2008-04-30 12:38:51]	SOCKET 连接创建失败
[2008-04-30 12:38:51]	SOCKET 连接创建失败
[2008-04-30 12:38:51]	SOCKET 连接创建失败
[2008-04-30 12:38:52]	SOCKET 连接创建失败
[2008-04-30 12:38:52]	SOCKET 连接创建失败
[2008-04-30 12:38:52]	SOCKET 连接创建失败
[2008-04-30 12:38:53]	SOCKET 连接创建失败
[2008-04-30 12:38:53]	SOCKET 连接创建失败
[2008-04-30 12:38:53]	SOCKET 连接创建失败
[2008-04-30 12:38:53]	SOCKET 连接创建失败
[2008-04-30 12:38:53]	SOCKET 连接创建失败
[2008-04-30 12:38:54]	SOCKET 连接创建失败
[2008-04-30 12:38:55]	SOCKET 连接创建失败
[2008-04-30 12:38:56]	SOCKET 连接创建失败
[2008-04-30 12:38:56]	SOCKET 连接创建失败
